Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEFM PROF HOSANA SALLES;32052618;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA HUMBERTO TIRELLO, 82 AEROPORTO. 29314-110 Cachoeiro de Itapemirim - ES.";(28) 35177045;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";;-20.8313409;-41.1760536
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEFM QUINTILIANO DE AZEVEDO;32052634;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SAMUEL DUARTE, 02 SANTO ANTONIO. 29300-550 Cachoeiro de Itapemirim - ES.";(28) 35226520;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-20.8463483;-41.12578
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEF ROTARY;32052642;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA NELSON BORELLI, 06 OTTON MARINS. 29301-822 Cachoeiro de Itapemirim - ES.";(28) 35223542;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.8481374;-41.1323211
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEF SANTA CECILIA;32052650;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CABO TAVEIRA, SN ESCOLA. SANTA CECILIA. 29307-530 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.8408989;-41.1092388
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB SAO FRANCISCO DE ASSIS;32052669;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SANTINO SAMUEL DE AGUIAR, 102 SAO FRANCISCO DE ASSIS. 29317-485 Cachoeiro de Itapemirim - ES.";(28) 35268719;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.85234;-41.1414577
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROFª JURACY CRUZ;32052677;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SISYPHO SARDENBERG, 96 SAO LUIZ GONZAGA. 29306-868 Cachoeiro de Itapemirim - ES.";(28) 35181467;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-20.8513183;-41.09194136
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEFM WILSON RESENDE;32052693;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PRACA JOSE GAVA, SN BURARAMA. 29327-000 Cachoeiro de Itapemirim - ES.";(28) 35393051;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atendimento Educacional Especializado;-20.6806538;-41.3473509
ESCOLA PARALISADA;EMEB ZILAH LIMA DE MOURA;32052707;ES;Cachoeiro de Itapemirim;Urbana;Não Informado;Pública;"RUA JOSE PARTELLI, 11 MONTE CRISTO. 29312-025 Cachoeiro de Itapemirim - ES.";(28) 35268751;Municipal;Não Informado;Não;;;;;-20.84901;-41.15343
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EPPG BEM TE VI;32052715;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA EDUARDO GOMES, 23 IBITIQUARA. 29307-230 Cachoeiro de Itapemirim - ES.";(28) 35222043;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-20.84628056;-41.11059667
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE SAO CAMILO - ICE;32052723;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA SAO CAMILO DE LELLIS 01, 01 PARAISO. 29304-910 Cachoeiro de Itapemirim - ES.";(28) 35265911;Privada;Filantrópica;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";Atendimento Educacional Especializado;-20.8514637;-41.1207835
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEEMTI LICEU MUNIZ FREIRE;32052731;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MOREIRA, 163 ESCOLA. INDEPENDENCIA. 29306-320 Cachoeiro de Itapemirim - ES.";(28) 35224881;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-20.8530326;-41.1063251
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEFM PROF PETRONILHA VIDIGAL;32052847;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA BRAZ VIVACQUA, 40 ITAOCA. 29325-000 Cachoeiro de Itapemirim - ES.";(28) 35391355;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";Atendimento Educacional Especializado;-20.728055;-41.1326816666667
ESCOLA EXCLUSIVA DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO;EE EEE AUDITIVA LIONS PROF NAPOLEAO ALBUQUERQUE;32052928;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DR DEOLINDO, 198 BAIMINAS. 29300-020 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;Sim;Escola sem matrícula de escolarização;;Atendimento Educacional Especializado;-20.8562951;-41.105157
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE LAURO PINHEIRO;32052936;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA FERNANDO DE MELO PORTINHO, 07 INDEPENDENCIA. 29306-310 Cachoeiro de Itapemirim - ES.";(28) 35153500;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-20.8527591;-41.1061557
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PLURIDOCENTE TIJUCA;32052944;ES;Cachoeiro de Itapemirim;Rural;A escola não está em área de localização diferenciada;Pública;"ESTRADA DA TIJUCA, S/N FINAL DA ESTRADA. AREA RURAL DE CACHOEIRO DE ITAPEMIRIM. 29320-899 Cachoeiro de Itapemirim - ES.";(28) 35214691;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-20.9120992384851;-41.1185039207339
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB OSCAR MONTENEGRO FILHO;32052995;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ANIZIO LAUREANO DA SILVA, 11 RECANTO. 29303-195 Cachoeiro de Itapemirim - ES.";(28) 35228599;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-20.8511991379976;-41.1178549938287
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INST DE PESQUISAS EDUCACIONAIS;32053045;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA LAUDELINA LOUZADA, 46 BASILEIA. 29305-367 Cachoeiro de Itapemirim - ES.";(28) 35225310;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA GUIMARAES ROSA LTDA;32053070;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA 25 DE MARCO, 110 CENTRO. 29300-100 Cachoeiro de Itapemirim - ES.";(28) 35224339;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-20.85124745965;-41.1107979342341
ESCOLA PARALISADA;EMEB UNIDOCENTE ALTO GRUTA;32053118;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"AVENIDA NEWTON BRAGA, NOSSA SENHORA DA GLORIA. 29303-890 Cachoeiro de Itapemirim - ES.";;Municipal;Não Informado;Não;;;;;;
ESCOLA PARALISADA;EMEB UNIDOCENTE BAIXO GRUTA;32053126;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"AVENIDA NEWTON BRAGA, BAIXO GRUTA. NOSSA SENHORA DA GLORIA. 29303-890 Cachoeiro de Itapemirim - ES.";;Municipal;Não Informado;Não;;;;;;
ESCOLA PARALISADA;EMEB UNIDOCENTE CORREGO DO BEBEDOURO;32053150;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"DISTRITO CORREGO DOS MONOS, 29328-000 Cachoeiro de Itapemirim - ES.";(28) 35116010;Municipal;Não Informado;Não;;;;;-20.87181;-41.22457
ESCOLA PARALISADA;EEUEF CORREGO DO BRAS;32053169;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"RUA MARIO ROMANELLI, CENTRO. 29300-020 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;;
ESCOLA PARALISADA;EMEB UNIDOCENTE FAZENDA RETIRO;32053193;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"AREA RURAL, AREA RURAL DE CACHOEIRO DE ITAPEMIRIM. 29320-899 Cachoeiro de Itapemirim - ES.";;Municipal;Não Informado;Não;;;;;;
ESCOLA PARALISADA;EEUEF - FAZENDA SANTA FE;32053207;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"RUA MARIO ROMANELL, CENTRO. 29300-020 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB ALBERTINA MACEDO;32053290;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA LETO ANTONIO DUARTE, 01 -. SANTA CECILIA. 29307-560 Cachoeiro de Itapemirim - ES.";(28) 35187959;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.8403847;-41.1087562
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB LAURINDO SASSO;32053304;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PRINCIPAL, 0 GIRONDA. 29326-000 Cachoeiro de Itapemirim - ES.";(28) 35231565;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.7232407;-41.0841654
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB WALDIR FURTADO AMORIM;32053312;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA RAUL NASSAR, 54 WALDIR FURTADO AMORIM. 29313-825 Cachoeiro de Itapemirim - ES.";(28) 35268805;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.8397994;-41.1582747
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB ZILMA COELHO PINTO;32053320;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOAO MOTA, 11 FERROVIARIOS. 29308-012 Cachoeiro de Itapemirim - ES.";(28) 35228851;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-20.845394;-41.1147237
ESCOLA PARALISADA;EMEB UNIDOCENTE ALTO CANTAGALO;32053347;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"ALTO CANTAGALO, 29327-000 Cachoeiro de Itapemirim - ES.";(28) 35116010;Municipal;Não Informado;Não;;;;;;
ESCOLA PARALISADA;EEUEF - BOA CONSERVA;32053355;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"BOA CONSERVA- BURARAMA, 29327-000 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;;
ESCOLA PARALISADA;EEUEF FURQUILHA;32053363;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"FURQUILHA, ZONA RURAL. 29327-000 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;;
ESCOLA PARALISADA;EEUEF FAZENDA JACU;32053401;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"FAZENDA JACU, 29327-000 Cachoeiro de Itapemirim - ES.";(28) 35601126;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB SAO VICENTE;32053452;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"LOCALIDADE SAO VICENTE, SAO VICENTE. 29322-500 Cachoeiro de Itapemirim - ES.";(28) 30155515;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-20.6600316666667;-41.089345
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB UNIDOCENTE ALTO SAO VICENTE;32053495;ES;Cachoeiro de Itapemirim;Rural;A escola não está em área de localização diferenciada;Pública;"AV. JOAO CALABREZ, ALTO SAO VICENTE. 29313-290 Cachoeiro de Itapemirim - ES.";(28) 35116010;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-20.63538421;-41.08823741
ESCOLA PARALISADA;EMEB PLURIDOCENTE VALAO DE AREIA;32053614;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"RUA PROJETADA, SN VALAO DE AREIA. ITAOCA PEDRA. 29325-000 Cachoeiro de Itapemirim - ES.";(28) 35391559;Municipal;Não Informado;Não;;;;;-20.72127;-41.15371
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEFM PROFESSOR DOMINGOS UBALDO;32053622;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CORONEL FRANCISCO ATHAYDE CONDURU, SN ZONA RURAL. 29329-000 Cachoeiro de Itapemirim - ES.";(28) 35395166;Estadual;Não Informado;Não;Em Tramitação;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.6733712;-41.2071163
ESCOLA PARALISADA;EEUEF BARRA DE ITAOCA;32053630;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"SALGADINHO- ITAOCA, 29325-000 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;;
ESCOLA PARALISADA;EMEB COUTINHO;32053665;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"RUA CARLOS VIANNA, 0 COUTINHO. 29322-100 Cachoeiro de Itapemirim - ES.";;Municipal;Não Informado;Não;;;;;-20.7570407;-41.1948543
ESCOLA PARALISADA;EEUEF JABOTICABEIRA;32053673;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"JABOTICABEIRA, 29323-000 Cachoeiro de Itapemirim - ES.";(28) 35152716;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB MONTE ALEGRE;32053690;ES;Cachoeiro de Itapemirim;Rural;Área remanescente de quilombos;Pública;"RUA PROJETADA, S/Nº ZONA RURAL. MONTE ALEGRE. 29323-000 Cachoeiro de Itapemirim - ES.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-20.7341752487742;-41.2687518638027
ESCOLA PARALISADA;EEUEF SANTA TEREZINHA;32053711;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"FAZENDA BANANAL, 29323-000 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB LUIZ SEMPRINI;32053720;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DIOGO PIRES DE AMORIM, SN PACOTUBA. 29323-000 Cachoeiro de Itapemirim - ES.";(28) 35397021;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-20.7641405;-41.2720618
ESCOLA PARALISADA;EEUEF - BANCA DE AREIA;32053770;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"RUA DOUTOR BAPTISTA FLUMINENSE, CENTRO. 29300-130 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;;
ESCOLA PARALISADA;EEUEF - CAPOEIRAO;32053800;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"CACHOEIRO DE ITAPEMIRIM-ES, 29323-000 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;;
ESCOLA PARALISADA;EEUEF COQUEIROS;32053819;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"COQUEIROS, 29323-000 Cachoeiro de Itapemirim - ES.";(28) 35601106;Estadual;Não Informado;Não;;;;;;
ESCOLA PARALISADA;EEUEF - RETIRO FREITAS;32053827;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"NULL RETIRO, ZONA RURAL. 29323-000 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;-20.69769;-41.27357
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB SERTAO DE MONTE LIBANO;32053843;ES;Cachoeiro de Itapemirim;Rural;A escola não está em área de localização diferenciada;Pública;"RUA GENOFA AURORA COLLI BASTOS, S/N VARGEM GRANDE SOTURNO. 29325-000 Cachoeiro de Itapemirim - ES.";(28) 35391790;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-20.7432538;-41.1055446
ESCOLA PARALISADA;EEEF ANDRE LEANDRO SILOTTI;32053851;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"VARGEM GRANDE DE SOTURNO, 29321-000 Cachoeiro de Itapemirim - ES.";(28) 35241241;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEFM ZACHEU MOREIRA DA FRAGA;32053860;ES;Cachoeiro de Itapemirim;Rural;A escola não está em área de localização diferenciada;Pública;"RUA JOELMAR DAROS, SN PREDIO. ZONA RURAL. 29321-000 Cachoeiro de Itapemirim - ES.";(28) 35241470;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atendimento Educacional Especializado;-20.7633816;-41.0595082
ESCOLA PARALISADA;EEUEF - COBICA;32053916;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"SOTURNO, 29321-000 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROFª LUCILLA ARAUJO MOREIRA;32064292;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MARIA ROSA BRUM DE MATOS, 02 PARQUE LARANJEIRAS. 29317-020 Cachoeiro de Itapemirim - ES.";(28) 35268684;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-20.84718225;-41.14294048
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB CORREGO VERMELHO;32064756;ES;Cachoeiro de Itapemirim;Rural;A escola não está em área de localização diferenciada;Pública;"RUA JOSE FERNANDES, 0 CORREGO VERMELHO. ITAOCA PEDRA. 29325-000 Cachoeiro de Itapemirim - ES.";(28) 35391540;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-20.7182825;-41.1363806
ESCOLA PARALISADA;EEEF CENTRO OPERARIO E DE PROTECAO MUTUA;32064853;ES;Cachoeiro de Itapemirim;Urbana;Não Informado;Pública;"RUA 25 DE MARCO, CENTRO. 29300-100 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB Mª DAS VICTORIAS OLIVEIRA DE ANDRADE;32064861;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOSE BARBOSA, 56 JARDIM ITAPEMIRIM. 29315-722 Cachoeiro de Itapemirim - ES.";(28) 35268880;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-20.8554804883897;-41.1536616459489
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB VIRGINIA ATHAYDE COELHO;32064896;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SAO PAULO, 10 ALTO AMARELO. 29304-380 Cachoeiro de Itapemirim - ES.";(28) 35228166;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.8568093;-41.1112746
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROFª MARIA DO CARMO MAGALHAES;32064918;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ALCEBIADES JOAQUIM FRANCISCO, 89 NOSSA SENHORA APARECIDA. 29306-729 Cachoeiro de Itapemirim - ES.";(28) 35182353;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-20.8424265962094;-41.1010689754039
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROF DEUSDEDIT BAPTISTA;32064926;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CORINTHA GOMES DA SILVA, 39 CORAMARA. 29313-372 Cachoeiro de Itapemirim - ES.";(28) 35268635;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-20.835171262753;-41.1495629791554
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROFª GERCIA FERREIRA GUIMARAES;32069685;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOAO DE BARRO, 08 FE E RACA. 29308-717 Cachoeiro de Itapemirim - ES.";(28) 35189430;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-20.83058244;-41.12000225
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB IRMA MARGARIDA;32069693;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA LEONARDO MELLO DA SILVA, 15 MONTE BELO. 29314-797 Cachoeiro de Itapemirim - ES.";(28) 35185890;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.8769475;-41.1037738
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB SATURNINO RANGEL MAURO;32069707;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SEBASTIAO CASTILHO, 108 ARARIGUABA. 29305-530 Cachoeiro de Itapemirim - ES.";(28) 35228798;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.8585276;-41.0969951
